Unnamed: 0,item_id,name,category,price,link,short_description,designer,depth,height,width
836,70439728,LIATORP,Cabinets & cupboards,1345.0,https://www.ikea.com/sa/en/p/liatorp-sideboard-white-70439728/,"        Sideboard,          145x87 cm",Carina Bengs,48.0,87.0,145.0
839,10409871,BRIMNES,Cabinets & cupboards,476.0,https://www.ikea.com/sa/en/p/brimnes-glass-door-cabinet-black-10409871/,"        Glass-door cabinet,          80x190 cm",K Hagberg/M Hagberg,35.0,190.0,80.0
846,10251451,IKEA PS,Cabinets & cupboards,425.0,https://www.ikea.com/sa/en/p/ikea-ps-cabinet-white-10251451/,"        Cabinet,          119x63 cm",Nicholai Wiig Hansen,40.0,63.0,119.0
858,20396646,HEMNES,Cabinets & cupboards,595.0,https://www.ikea.com/sa/en/p/hemnes-high-cabinet-with-glass-door-white-20396646/,"        High cabinet with glass door,          42x38x131 cm",IKEA of Sweden,38.0,131.0,42.0
860,90421911,BRYGGJA,Cabinets & cupboards,597.0,https://www.ikea.com/sa/en/p/bryggja-storage-unit-dark-grey-90421911/,"        Storage unit,          120x173 cm",Ola Wihlborg,43.0,173.0,120.0
868,327772,MALSJÖ,Cabinets & cupboards,2100.0,https://www.ikea.com/sa/en/p/malsjoe-sideboard-basic-unit-black-stained-00327772/,"        Sideboard basic unit,          145x92 cm",Carina Bengs,48.0,92.0,145.0
877,242278,FABRIKÖR,Cabinets & cupboards,676.0,https://www.ikea.com/sa/en/p/fabrikoer-glass-door-cabinet-dark-grey-00242278/,"        Glass-door cabinet,          57x150 cm",Nike Karlsson,47.0,150.0,57.0
884,30284846,BESTÅ,Cabinets & cupboards,25.0,https://www.ikea.com/sa/en/p/besta-suspension-rail-silver-colour-30284846/,"        Suspension rail,          60 cm",IKEA of Sweden,,,
890,30269129,BESTÅ BURS,Cabinets & cupboards,1195.0,https://www.ikea.com/sa/en/p/besta-burs-tv-bench-high-gloss-white-30269129/,"        TV bench,          180x41x49 cm",Mikael Warnhammar,41.0,49.0,180.0
891,90433909,MARKERAD,Cabinets & cupboards,597.0,https://www.ikea.com/sa/en/p/markerad-glass-door-cabinet-pine-90433909/,"        Glass-door cabinet,          80x80 cm",Virgil Abloh,40.0,80.0,80.0
