Unnamed: 0,item_id,name,category,price,link,short_description,designer,depth,height,width
3180,19250697,LISABO / SVENBERTIL,Tables & desks,1675.0,https://www.ikea.com/sa/en/p/lisabo-svenbertil-table-and-4-chairs-ash-veneer-white-s19250697/,"        Table and 4 chairs,          140x78 cm",Mia Lagerman/K Hagberg/M Hagberg,,74.0,78.0
3181,19277036,MÖCKELBY / FANBYN,Tables & desks,4145.0,https://www.ikea.com/sa/en/p/moeckelby-fanbyn-table-and-6-chairs-oak-white-s19277036/,"        Table and 6 chairs,          235x100 cm",Marcus Arvonen,,74.0,100.0
3182,19285927,INGATORP / SAKARIAS,Tables & desks,4025.0,https://www.ikea.com/sa/en/p/ingatorp-sakarias-table-and-4-chairs-black-sporda-dark-grey-s19285927/,"        Table and 4 chairs,          110/155 cm",Carina Bengs/IKEA of Sweden/E Strandmark,,,
3183,19297261,NORRÅKER / NORRARYD,Tables & desks,915.0,https://www.ikea.com/sa/en/p/norraker-norraryd-table-and-2-chairs-birch-black-s19297261/,"        Table and 2 chairs,          74x74 cm",Nike Karlsson/J Karlsson/N Karlsson,,,74.0
3184,29161573,MÖRBYLÅNGA / BERNHARD,Tables & desks,6965.0,https://www.ikea.com/sa/en/p/moerbylanga-bernhard-table-and-6-chairs-brown-kavat-dark-brown-s29161573/,"        Table and 6 chairs,          220x100 cm",S Lanneskog/J Marnell/Ola Wihlborg,,74.0,100.0
3185,29259838,MÖRBYLÅNGA / VOLFGANG,Tables & desks,4745.0,https://www.ikea.com/sa/en/p/moerbylanga-volfgang-table-and-6-chairs-brown-gunnared-medium-grey-s29259838/,"        Table and 6 chairs,          220x100 cm",S Lanneskog/J Marnell,,74.0,100.0
3186,29296874,EKEDALEN / EKEDALEN,Tables & desks,1245.0,https://www.ikea.com/sa/en/p/ekedalen-ekedalen-table-and-2-chairs-dark-brown-orrsta-light-grey-s29296874/,"        Table and 2 chairs,          80/120 cm",Ehlén Johansson,,,
3187,29297227,STENSELE / NORRARYD,Tables & desks,1340.0,https://www.ikea.com/sa/en/p/stensele-norraryd-bar-table-and-2-bar-stools-anthracite-anthracite-black-s29297227/,        Bar table and 2 bar stools,Nike Karlsson/Maja Ganszyniec,,,
3188,29297232,NORRÅKER / NORRARYD,Tables & desks,1636.0,https://www.ikea.com/sa/en/p/norraker-norraryd-table-and-4-chairs-birch-black-s29297232/,"        Table and 4 chairs,          125x74 cm",Nike Karlsson/J Karlsson/N Karlsson,,,74.0
3189,39161488,MELLTORP / JANINGE,Tables & desks,919.0,https://www.ikea.com/sa/en/p/melltorp-janinge-table-and-4-chairs-white-yellow-s39161488/,"        Table and 4 chairs,          125 cm",John/Jonas/Petrus/Paul/Caroline/Lisa Norinder,,72.0,75.0
3190,39229940,LINNMON / TORSKLINT,Tables & desks,575.0,https://www.ikea.com/sa/en/p/linnmon-torsklint-table-white-light-grey-s39229940/,"        Table,          150x75 cm",IKEA of Sweden/Jomi Evers,,74.0,75.0
3191,39286898,BEKANT,Tables & desks,1100.0,https://www.ikea.com/sa/en/p/bekant-storage-unit-with-smart-lock-mesh-white-s39286898/,"        Storage unit with smart lock,          41x101 cm",IKEA of Sweden/Eva Lilja Löwenhielm,45.0,101.0,41.0
3192,39297123,LISABO / RÖNNINGE,Tables & desks,2075.0,https://www.ikea.com/sa/en/p/lisabo-roenninge-table-and-4-chairs-ash-veneer-green-s39297123/,"        Table and 4 chairs,          140x78 cm",K Hagberg/M Hagberg/Maja Ganszyniec,,,78.0
3193,39297255,NORRÅKER / RÖNNINGE,Tables & desks,1085.0,https://www.ikea.com/sa/en/p/norraker-roenninge-table-and-2-chairs-birch-green-s39297255/,"        Table and 2 chairs,          74x74 cm",J Karlsson/N Karlsson/Maja Ganszyniec,,,74.0
3194,39305161,NORDVIKEN / HENRIKSDAL,Tables & desks,2675.0,https://www.ikea.com/sa/en/p/nordviken-henriksdal-table-and-4-chairs-black-blekinge-white-s39305161/,"        Table and 4 chairs,          152/223x95 cm",Francis Cayouette/IKEA of Sweden,,,95.0
3195,39307706,VEDBO / VEDBO,Tables & desks,5865.0,https://www.ikea.com/sa/en/p/vedbo-vedbo-table-and-6-chairs-black-black-s39307706/,"        Table and 6 chairs,          240x105 cm",Francis Cayouette,,,105.0
3196,40247207,DALSHULT,Tables & desks,575.0,https://www.ikea.com/sa/en/p/dalshult-underframe-birch-40247207/,        Underframe,Wiebke Braasch,,71.0,78.0
3197,49103247,LISABO / JANINGE,Tables & desks,1595.0,https://www.ikea.com/sa/en/p/lisabo-janinge-table-and-4-chairs-ash-veneer-white-s49103247/,"        Table and 4 chairs,          140x78 cm",K Hagberg/M Hagberg/John/Jonas/Petrus/Paul/Caroline,,74.0,78.0
3198,49221321,EKEDALEN / ODGER,Tables & desks,2765.0,https://www.ikea.com/sa/en/p/ekedalen-odger-table-and-6-chairs-dark-brown-white-beige-s49221321/,"        Table and 6 chairs,          180/240 cm",Ehlén Johansson/J Löfgren/J Pettersson,,,
3199,49229261,EKEDALEN / HENRIKSDAL,Tables & desks,2765.0,https://www.ikea.com/sa/en/p/ekedalen-henriksdal-table-and-6-chairs-dark-brown-orrsta-ramna-light-grey-s49229261/,"        Table and 6 chairs,          180/240 cm",Ehlén Johansson/IKEA of Sweden,,,
3200,49252181,LISABO / SVENBERTIL,Tables & desks,1475.0,https://www.ikea.com/sa/en/p/lisabo-svenbertil-table-and-4-chairs-black-black-s49252181/,"        Table and 4 chairs,          140x78 cm",K Hagberg/M Hagberg/Mia Lagerman,,74.0,78.0
3201,49305165,NORDVIKEN / NORDVIKEN,Tables & desks,2395.0,https://www.ikea.com/sa/en/p/nordviken-nordviken-table-and-4-chairs-white-white-s49305165/,"        Table and 4 chairs,          152/223x95 cm",Francis Cayouette,,,95.0
3202,49390314,LINNMON / ALEX,Tables & desks,565.0,https://www.ikea.com/sa/en/p/linnmon-alex-table-light-grey-white-blue-s49390314/,"        Table,          150x75 cm",IKEA of Sweden/Johanna Asshoff,,74.0,75.0
3203,50420386,VEDBO,Tables & desks,2295.0,https://www.ikea.com/sa/en/p/vedbo-dining-table-black-50420386/,"        Dining table,          240x105 cm",Francis Cayouette,,75.0,105.0
3204,59047147,HILVER / GERTON,Tables & desks,665.0,https://www.ikea.com/sa/en/p/hilver-gerton-table-bamboo-chrome-plated-s59047147/,"        Table,          140x65 cm",IKEA of Sweden/Chenyi Ke,,,65.0
3205,59161562,TORSBY / BERNHARD,Tables & desks,3875.0,https://www.ikea.com/sa/en/p/torsby-bernhard-table-and-4-chairs-high-gloss-white-kavat-white-s59161562/,"        Table and 4 chairs,          135 cm",Carl Öjerstam/Ola Wihlborg/IKEA of Sweden,,,
3206,59214216,LINNMON / KRILLE,Tables & desks,415.0,https://www.ikea.com/sa/en/p/linnmon-krille-table-geometric-beige-white-s59214216/,"        Table,          120x60 cm",Francis Cayouette/Gustav Carlberg,,74.0,60.0
3207,59229915,ÅMLIDEN / ALVARET,Tables & desks,675.0,https://www.ikea.com/sa/en/p/amliden-alvaret-table-grey-green-grey-s59229915/,"        Table,          120x60 cm",Jomi Evers,,74.0,60.0
3208,59246043,MÖRBYLÅNGA / BERNHARD,Tables & desks,5275.0,https://www.ikea.com/sa/en/p/moerbylanga-bernhard-table-and-4-chairs-brown-mjuk-white-s59246043/,"        Table and 4 chairs,          140x85 cm",Ola Wihlborg/S Lanneskog/J Marnell,,74.0,85.0
