epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
23,11966.1,0.55888,1.02913,0.74656,0.95041,0,0.67225,0.7267,0.74884,0.65813,0.67507,0.72878,0.74979,0.63412,0.56752,1.04296,0.60096,0.93451,0,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
24,12473.1,0.55599,1.0212,0.74409,0.94967,0,0.68413,0.72914,0.75253,0.66165,0.6868,0.7311,0.75378,0.63639,0.56538,1.03961,0.60004,0.93369,0,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
25,12981.5,0.55322,1.01658,0.73266,0.94836,0,0.68321,0.73217,0.75187,0.66028,0.68683,0.73469,0.75302,0.63511,0.56486,1.03952,0.59763,0.93333,0,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
26,13498.4,0.54582,1.00162,0.72568,0.94474,0,0.68957,0.72851,0.75251,0.6605,0.69246,0.73166,0.75333,0.63539,0.56397,1.03684,0.59536,0.93322,0,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
27,14007.5,0.5417,0.99291,0.71823,0.9421,0,0.68302,0.72889,0.75182,0.66094,0.68778,0.73188,0.75271,0.63609,0.56261,1.03398,0.59324,0.93275,0,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
28,14509.6,0.54022,0.9901,0.7123,0.94139,0,0.69189,0.72612,0.75373,0.66258,0.69476,0.72776,0.75454,0.63842,0.56075,1.03182,0.59223,0.93182,0,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
29,15013.3,0.53539,0.98055,0.70166,0.93923,0,0.71057,0.69913,0.75491,0.66477,0.71321,0.70176,0.75596,0.63974,0.55968,1.02983,0.5899,0.9317,0,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
30,15508.8,0.53189,0.97291,0.69687,0.93697,0,0.67775,0.72366,0.75567,0.66514,0.72286,0.68683,0.75693,0.64039,0.55861,1.02794,0.5886,0.93155,0,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
31,15997,0.52873,0.96634,0.68766,0.93534,0,0.76778,0.65817,0.75734,0.66675,0.77087,0.6609,0.75846,0.64158,0.5572,1.02583,0.58685,0.93083,0,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
32,16487.7,0.52574,0.95833,0.68107,0.93512,0,0.75363,0.66113,0.75821,0.66838,0.75725,0.66522,0.7589,0.64249,0.5561,1.02314,0.58553,0.93012,0,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,16979,0.52127,0.94916,0.67416,0.93195,0,0.69697,0.71953,0.75959,0.66926,0.7571,0.66725,0.75985,0.64259,0.55433,1.02107,0.58348,0.92917,0,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,17471.1,0.5168,0.94304,0.66311,0.92977,0,0.71055,0.71108,0.76029,0.67026,0.7138,0.71213,0.76034,0.6433,0.55286,1.01845,0.58304,0.92824,0,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,17962.8,0.51335,0.9327,0.65722,0.92742,0,0.71579,0.70654,0.7605,0.67063,0.72001,0.70701,0.76051,0.64391,0.5517,1.01659,0.58167,0.92768,0,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,18454.5,0.5083,0.92576,0.64783,0.92619,0,0.72253,0.70502,0.76209,0.67317,0.72397,0.70647,0.76207,0.64569,0.55073,1.01493,0.57996,0.92727,0,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,18946.6,0.50322,0.91633,0.63769,0.92385,0,0.72329,0.70531,0.76278,0.6738,0.72406,0.70703,0.76239,0.64612,0.54946,1.01364,0.57891,0.92658,0,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,19442.8,0.5025,0.91346,0.63253,0.92314,0,0.72342,0.707,0.76315,0.6748,0.72462,0.70878,0.76329,0.6471,0.54841,1.01186,0.57697,0.92627,0,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,19934.7,0.49673,0.90143,0.62375,0.92032,0,0.72484,0.71065,0.76449,0.67603,0.72589,0.71215,0.76437,0.64761,0.54776,1.01029,0.57553,0.92629,0,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,20426.3,0.49395,0.89614,0.61454,0.91892,0,0.73338,0.70565,0.76777,0.67731,0.73196,0.71195,0.76828,0.6503,0.54672,1.0084,0.57408,0.92578,0,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,20922.4,0.48743,0.87062,0.50043,0.91278,0,0.72164,0.71375,0.76788,0.67819,0.72228,0.71607,0.76806,0.65094,0.54598,1.00715,0.57316,0.92554,0,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,21413.6,0.4798,0.85651,0.48393,0.90659,0,0.71598,0.72047,0.7691,0.67997,0.71745,0.72192,0.76936,0.65312,0.54481,1.00626,0.57215,0.92526,0,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,21908.6,0.47364,0.84688,0.4679,0.90329,0,0.72138,0.71886,0.76943,0.67908,0.72271,0.72022,0.76842,0.65291,0.54446,1.00541,0.57168,0.9251,0,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,22404.4,0.46778,0.83564,0.45789,0.89974,0,0.72588,0.7084,0.76967,0.67916,0.72726,0.70979,0.7687,0.6526,0.54316,1.00488,0.57136,0.9247,0,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
45,22899.8,0.46346,0.8251,0.44416,0.89616,0,0.72854,0.70558,0.77108,0.68053,0.7297,0.70676,0.7694,0.65409,0.54247,1.00457,0.57026,0.92454,0,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
46,23405.9,0.45621,0.81582,0.43025,0.89198,0,0.74893,0.6947,0.76995,0.67908,0.75092,0.6958,0.76992,0.65344,0.54181,1.00456,0.56936,0.92465,0,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
47,23909,0.44928,0.80533,0.41934,0.8889,0,0.74879,0.69732,0.76951,0.67979,0.75013,0.69797,0.76949,0.65349,0.54129,1.00464,0.56926,0.92433,0,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
48,24414.4,0.44531,0.79691,0.40698,0.88538,0,0.75247,0.69254,0.76847,0.67889,0.75445,0.69368,0.76727,0.65206,0.54091,1.00476,0.56942,0.92421,0,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
49,24922.2,0.43941,0.78878,0.39703,0.88165,0,0.7672,0.68959,0.76868,0.67858,0.76853,0.6908,0.7686,0.65258,0.54051,1.00477,0.56941,0.92403,0,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
50,25431.1,0.43503,0.77884,0.38811,0.88101,0,0.76532,0.68805,0.76752,0.67711,0.76665,0.68925,0.76727,0.65219,0.54024,1.00487,0.56966,0.92405,0,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
